,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
187,"                                176,874,000                            ",                                5.42%                            ,                                SHENGUAN HOLDINGS (GROUP) LIMITED                            ,                                  829                            
188,"                                32,389,559                            ",                                0.67%                            ,                                CHINA RESOURCES POWER HOLDINGS COMPANY LIMITED                            ,                                  836                            
189,"                                6,644,000                            ",                                0.08%                            ,                                GLORIOUS PROPERTY HOLDINGS LIMITED                            ,                                  845                            
190,"                                5,261,000                            ",                                0.08%                            ,                                MINGFA GROUP (INTERNATIONAL) COMPANY LIMITED                            ,                                  846                            
191,"                                18,697,413                            ",                                1.28%                            ,                                MICROPORT SCIENTIFIC CORPORATION                            ,                                  853                            
192,"                                159,076,000                            ",                                9.93%                            ,                                CHINA WATER AFFAIRS GROUP LIMITED                            ,                                  855                            
193,"                                573,948,771                            ",                                2.71%                            ,                                PETROCHINA COMPANY LIMITED                            ,                                  857                            
194,"                                699,686,900                            ",                                41.71%                            ,                                DIGITAL CHINA HOLDINGS LIMITED                            ,                                  861                            
195,"                                46,170,290                            ",                                1.84%                            ,                                CHINA MEDICAL SYSTEM HOLDINGS LIMITED                            ,                                  867                            
196,"                                41,076,000                            ",                                1.02%                            ,                                XINYI GLASS HOLDINGS LIMITED                            ,                                  868                            
197,"                                63,400,000                            ",                                28.82%                            ,"                                GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS CO., LTD.                            ",                                  874                            
198,"                                180,495,010                            ",                                3.18%                            ,                                SJM HOLDINGS LIMITED                            ,                                  880                            
199,"                                72,328,626                            ",                                3.18%                            ,                                ZHONGSHENG GROUP HOLDINGS LIMITED                            ,                                  881                            
200,"                                63,485,865                            ",                                0.14%                            ,                                CNOOC LIMITED                            ,                                  883                            
201,"                                382,251,605                            ",                                5.05%                            ,                                CIFI HOLDINGS (GROUP) CO. LTD.                            ,                                  884                            
202,"                                6,570,000                            ",                                0.05%                            ,                                RENTIAN TECHNOLOGY HOLDINGS LIMITED                            ,                                  885                            
203,"                                33,984,284                            ",                                16.98%                            ,                                DONGJIANG ENVIRONMENTAL COMPANY LIMITED                            ,                                  895                            
204,"                                617,005,386                            ",                                13.11%                            ,"                                HUANENG POWER INTERNATIONAL, INC.                            ",                                  902                            
205,"                                1,187,057,500                            ",                                6.97%                            ,                                QIANHAI HEALTH HOLDINGS LIMITED                            ,                                  911                            
206,"                                17,214,137                            ",                                1.31%                            ,                                ANHUI CONCH CEMENT COMPANY LIMITED                            ,                                  914                            
207,"                                101,433,000                            ",                                3.02%                            ,                                CHINA LONGYUAN POWER GROUP CORPORATION LIMITED                            ,                                  916                            
208,"                                53,333,000                            ",                                11.60%                            ,                                HISENSE KELON ELECTRICAL HOLDINGS COMPANY LIMITED                            ,                                  921                            
209,"                                110,838,000                            ",                                1.96%                            ,                                CHINA LNG GROUP LIMITED                            ,                                  931                            
210,"                                25,254,000                            ",                                0.24%                            ,                                BRIGHTOIL PETROLEUM (HOLDINGS) LIMITED                            ,                                  933                            
211,"                                117,090,000                            ",                                4.70%                            ,                                SINOPEC KANTONS HOLDINGS LIMITED                            ,                                  934                            
212,"                                9,589,796,488                            ",                                3.98%                            ,                                CHINA CONSTRUCTION BANK CORPORATION                            ,                                  939                            
213,"                                25,631,107                            ",                                0.12%                            ,                                CHINA MOBILE LIMITED                            ,                                  941                            
214,"                                47,880,000                            ",                                4.32%                            ,                                CHAOWEI POWER HOLDINGS LIMITED                            ,                                  951                            
215,"                                391,234,606                            ",                                7.77%                            ,                                HUANENG RENEWABLES CORPORATION LIMITED                            ,                                  958                            
216,"                                172,992,346                            ",                                2.92%                            ,                                LONGFOR PROPERTIES CO. LTD.                            ,                                  960                            
217,"                                327,549,049                            ",                                9.10%                            ,                                CHINA TAIPING INSURANCE HOLDINGS COMPANY LIMITED                            ,                                  966                            
218,"                                289,000                            ",                                0.01%                            ,                                SOUND GLOBAL LTD.                            ,                                  967                            
219,"                                66,367,662                            ",                                0.88%                            ,                                XINYI SOLAR HOLDINGS LIMITED                            ,                                  968                            
220,"                                91,386,000                            ",                                5.69%                            ,                                CHIHO ENVIRONMENTAL GROUP LIMITED                            ,                                  976                            
221,"                                37,932,000                            ",                                0.77%                            ,                                CHINA MERCHANTS LAND LIMITED                            ,                                  978                            
222,"                                661,899,200                            ",                                14.20%                            ,                                SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION                            ,                                  981                            
223,"                                267,222,000                            ",                                8.05%                            ,"                                DATANG INTERNATIONAL POWER GENERATION CO.,LTD.                            ",                                  991                            
224,"                                203,492,893                            ",                                1.82%                            ,                                LENOVO GROUP LIMITED                            ,                                  992                            
225,"                                44,682,000                            ",                                9.06%                            ,                                ANHUI EXPRESSWAY COMPANY LIMITED                            ,                                  995                            
226,"                                56,932,500                            ",                                0.25%                            ,                                CARNIVAL GROUP INTERNATIONAL HOLDINGS LIMITED                            ,                                  996                            
227,"                                2,752,736,800                            ",                                18.48%                            ,                                CHINA CITIC BANK CORPORATION LIMITED                            ,                                  998                            
